timestamp,cpu_percent,label
2025-06-24 12:19:35,2.0
2025-06-24 12:19:40,2.0
2025-06-24 12:19:45,1.3
2025-06-24 12:24:01,1.3
2025-06-24 12:24:06,3.4
2025-06-24 12:24:11,1.8
2025-06-24 12:24:16,1.3
2025-06-24 12:24:21,0.8
2025-06-24 12:24:26,1.5
2025-06-24 14:40:31,1.3
2025-06-24 14:40:36,12.1
2025-06-24 14:40:41,6.8
2025-06-24 14:40:46,10.7
2025-06-24 14:40:51,8.5
2025-06-24 14:40:56,10.2
2025-06-24 14:41:01,2.4
2025-06-24 14:41:06,6.7
2025-06-24 14:41:11,5.5
2025-06-24 14:41:16,34.4
2025-06-24 14:41:21,18.9
2025-06-24 14:41:26,21.6
2025-06-24 14:41:31,14.8
2025-06-24 14:41:36,7.4
2025-06-24 14:41:41,2.1
2025-06-24 14:41:46,19.2
2025-06-24 14:41:51,4.7
2025-06-24 14:41:56,12.3
2025-06-24 14:42:01,16.1
2025-06-24 14:42:07,0.8
2025-06-24 14:42:12,2.8
2025-06-24 14:42:17,9.3
2025-06-24 14:42:22,2.1
2025-06-24 14:42:27,4.9
2025-06-24 14:42:32,2.6
2025-06-24 14:42:37,1.6
2025-06-24 14:42:42,1.6
2025-06-24 14:42:47,2.1
2025-06-24 14:42:52,2.1
2025-06-24 14:42:57,2.6
2025-06-24 14:43:02,1.8
2025-06-24 14:43:07,2.1
2025-06-24 14:43:12,28.7
2025-06-24 14:43:17,18.8
2025-06-24 14:43:22,21.0
2025-06-24 14:43:27,23.3
2025-06-24 14:43:32,26.4
2025-06-24 14:43:37,22.7
2025-06-24 14:43:42,24.4
2025-06-24 14:43:47,20.4
2025-06-24 14:43:52,22.0
2025-06-24 14:43:57,17.5
2025-06-24 14:44:02,16.5
2025-06-24 14:44:07,5.0
2025-06-24 14:44:12,12.0
2025-06-24 14:44:17,1.8
2025-06-24 14:44:22,9.1
2025-06-24 14:44:27,9.2
2025-06-24 14:44:32,2.3
2025-06-24 14:44:37,8.1
2025-06-24 14:44:42,0.5
2025-06-24 14:44:47,6.1
2025-06-24 14:44:52,1.8
2025-06-24 14:44:57,3.4
2025-06-24 14:45:02,2.9
2025-06-24 14:45:07,2.5
2025-06-24 14:45:12,11.2
2025-06-24 14:45:17,2.3
2025-06-24 14:45:22,14.1
2025-06-24 14:45:27,1.0
2025-06-24 14:45:32,1.6
2025-06-24 14:45:37,1.0
2025-06-24 14:45:42,14.8
2025-06-24 14:45:47,2.3
2025-06-24 14:45:52,8.7
2025-06-24 14:46:09,2.1
2025-06-24 14:46:35,0.0
2025-06-24 14:47:06,34.9
2025-06-24 14:47:11,1.8
2025-06-24 14:47:16,1.4
2025-06-24 14:47:21,5.8
2025-06-24 14:47:26,1.3
2025-06-24 14:47:31,4.2
2025-06-24 14:47:36,17.4
2025-06-24 14:47:41,8.9
2025-06-24 14:47:46,10.1
2025-06-24 15:12:46,0.2,normal
2025-06-24 15:12:51,0.4,normal
2025-06-24 15:12:57,0.5,normal
2025-06-24 15:13:02,0.4,normal
2025-06-24 15:13:07,0.6,normal
2025-06-24 15:13:12,1.0,normal
2025-06-24 15:13:17,0.5,normal
2025-06-24 15:13:22,0.8,normal
2025-06-24 15:13:34,100.0,anomalous
2025-06-24 15:13:49,100.0,anomalous
2025-06-24 15:13:58,100.0,anomalous
2025-06-24 15:14:05,3.6,normal
2025-06-24 15:14:10,19.4,normal
2025-06-24 15:14:15,15.1,normal
2025-06-24 15:14:20,10.3,normal
2025-06-24 15:14:25,15.8,normal
2025-06-24 15:14:30,32.5,under_load
2025-06-24 15:14:35,15.7,normal
2025-06-24 15:14:40,17.8,normal
2025-06-24 15:14:45,29.4,normal
2025-06-24 15:14:50,15.7,normal
2025-06-24 15:14:55,19.3,normal
2025-06-24 15:15:00,32.9,under_load
2025-06-24 15:15:05,1.0,normal
2025-06-24 15:15:10,1.3,normal
2025-06-24 15:15:16,1.4,normal
2025-06-24 15:15:42,0.8,normal
2025-06-24 15:16:42,0.3,normal
2025-06-24 15:16:47,3.4,normal
2025-06-24 15:16:52,0.5,normal
2025-06-24 15:16:57,0.0,normal
2025-06-24 15:17:08,0.7,normal
2025-06-24 15:17:13,33.8,under_load
2025-06-24 15:17:42,0.3,normal
2025-06-24 15:18:07,5.1,normal
2025-06-24 15:18:12,0.0,normal
2025-06-24 15:18:17,3.8,normal
2025-06-24 15:18:26,100.0,anomalous

